//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
783	15.86	159 	3.823
784	15.64	156 	3.828
785	15.41	154 	3.833
786	15.18	152 	3.838
787	14.95	150 	3.843
788	14.72	147 	3.848
789	14.49	145 	3.853
790	14.26	143 	3.857
791	14.03	140 	3.862
792	13.80	138 	3.867
793	13.57	136 	3.872
794	13.33	133 	3.877
795	13.10	131 	3.882
796	12.87	129 	3.887
797	12.63	126 	3.892
798	12.40	124 	3.896
799	12.16	122 	3.901
800	11.92	119 	3.906
801	11.69	117 	3.911
802	11.45	114 	3.916
803	11.21	112 	3.921
804	10.97	110 	3.926
805	10.73	107 	3.931
806	10.49	105 	3.936
807	10.25	102 	3.940
808	10.01	100 	3.945
809	9.76	98 	3.950
810	9.52	95 	3.955
811	9.28	93 	3.960
812	9.03	90 	3.965
813	8.78	88 	3.970
814	8.54	85 	3.975
815	8.29	83 	3.979
816	8.04	80 	3.984
817	7.79	78 	3.989
818	7.54	75 	3.994
819	7.29	73 	3.999
820	7.04	70 	4.004
821	6.79	68 	4.009
822	6.54	65 	4.014
823	6.28	63 	4.019
824	6.03	60 	4.023
825	5.77	58 	4.028
826	5.52	55 	4.033
827	5.26	53 	4.038
828	5.00	50 	4.043
829	4.74	47 	4.048
830	4.48	45 	4.053
831	4.22	42 	4.058
832	3.96	40 	4.063
833	3.70	37 	4.067
834	3.43	34 	4.072
835	3.17	32 	4.077
836	2.91	29 	4.082
837	2.64	26 	4.087
838	2.37	24 	4.092
839	2.10	21 	4.097
840	1.83	18 	4.102
841	1.56	16 	4.106
842	1.29	13 	4.111
843	1.02	10 	4.116
844	0.75	7 	4.121
845	0.47	5 	4.126
846	0.20	2 	4.131
847	-0.08	-1 	4.136
848	-0.36	-4 	4.141
849	-0.64	-6 	4.146
850	-0.92	-9 	4.150
851	-1.20	-12 	4.155
852	-1.48	-15 	4.160
853	-1.76	-18 	4.165
854	-2.05	-20 	4.170
855	-2.33	-23 	4.175
856	-2.62	-26 	4.180
857	-2.91	-29 	4.185
858	-3.20	-32 	4.189
859	-3.49	-35 	4.194
860	-3.78	-38 	4.199
861	-4.07	-41 	4.204
862	-4.37	-44 	4.209
863	-4.66	-47 	4.214
864	-4.96	-50 	4.219
865	-5.26	-53 	4.224
866	-5.56	-56 	4.229
867	-5.86	-59 	4.233
868	-6.16	-62 	4.238
869	-6.47	-65 	4.243
870	-6.77	-68 	4.248
871	-7.08	-71 	4.253
872	-7.39	-74 	4.258
873	-7.70	-77 	4.263
874	-8.01	-80 	4.268
875	-8.32	-83 	4.272
876	-8.64	-86 	4.277
877	-8.95	-90 	4.282
878	-9.27	-93 	4.287
879	-9.59	-96 	4.292
880	-9.91	-99 	4.297
881	-10.23	-102 	4.302
882	-10.56	-106 	4.307
883	-10.88	-109 	4.312
884	-11.21	-112 	4.316
